3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
1st,Anastasios Bakasetas,Midfielder  - 29,74.4,"Ξ 0,0999"
2nd,Dušan Tadić,Forward  - 34,73.3,"Ξ 0,139"
3rd,Rodrigo,Midfielder  - 26,69.0,"Ξ 0,175"
4th,Bruno Fernandes,Midfielder  - 28,68.4,"Ξ 0,182"
5th,Danilo,Defender  - 31,65.5,"Ξ 0,0340"
6th,Vertonghen,Defender  - 35,65.4,"Ξ 0,0170"
7th,Dominik Szoboszlai,Midfielder  - 22,64.5,"Ξ 0,0656"
8th,Jordan Beyer,Defender  - 22,64.4,"Ξ 0,0145"
9th,Pedri,Midfielder  - 20,64.3,"Ξ 0,106"
10th,Mehdi Taremi,Forward  - 30,64.1,"Ξ 0,0717"
11th,Cody Gakpo,Forward  - 23,64.0,"Ξ 0,0840"
12th,Victor Osimhen,Forward  - 24,63.9,"Ξ 0,189"
13th,Toni Kroos,Midfielder  - 33,63.8,"Ξ 0,0280"
14th,Andrei Girotto,Defender  - 31,63.7,"Ξ 0,0140"
15th,Giovanni Di Lorenzo,Defender  - 29,63.4,"Ξ 0,0650"
16th,Éder Militão,Defender  - 25,63.1,"Ξ 0,0350"
17th,Jean-Charles Castelletto,Defender  - 28,62.8,"Ξ 0,0084"
18th,Wissam Ben Yedder,Forward  - 32,62.4,"Ξ 0,0435"
19th,Riyad Mahrez,Forward  - 31,62.2,"Ξ 0,0520"
20th,Alban Lafont,Goalkeeper  - 24,62.1,"Ξ 0,0980"
21st,Nicolas Seiwald,Midfielder  - 21,61.0,"Ξ 0,0276"
22nd,Jordi Alba,Defender  - 33,61.0,"Ξ 0,0085"
23rd,Ángel Di María,Midfielder  - 35,60.9,"Ξ 0,0275"
24th,Joseph Okumu,Defender  - 25,60.5,"Ξ 0,0143"
25th,Juan Brunetta,Midfielder  - 25,60.3,"Ξ 0,0505"
26th,Aleksandr Golovin,Midfielder  - 26,60.0,"Ξ 0,0275"
27th,Harold Preciado,Forward  - 28,59.6,"Ξ 0,0275"
28th,Thibaut Courtois,Goalkeeper  - 30,59.3,"Ξ 0,135"
29th,Andrés Ricaurte,Midfielder  - 31,59.2,"Ξ 0,0176"
30th,Hakan Çalhanoğlu,Midfielder  - 29,59.1,"Ξ 0,0647"
31st,Yari Verschaeren,Midfielder  - 21,59.0,"Ξ 0,0250"
32nd,Willi Orban,Defender  - 30,59.0,"Ξ 0,0169"
33rd,Thiago Alcântara,Midfielder  - 31,59.0,"Ξ 0,0133"
34th,Kevin De Bruyne,Midfielder  - 31,58.6,"Ξ 0,130"
35th,Ian Maatsen,Defender  - 20,58.3,"Ξ 0,0434"
36th,Caio Henrique,Defender  - 25,58.2,"Ξ 0,0270"
37th,Michael Ngadeu,Defender  - 32,58.2,"Ξ 0,0095"
38th,Galeno,Forward  - 25,58.1,"Ξ 0,0412"
39th,Josh Brownhill,Midfielder  - 27,57.9,"Ξ 0,0241"
40th,Moussa Diaby,Forward  - 23,57.8,"Ξ 0,0467"
41st,Mattia Zaccagni,Midfielder  - 27,57.8,"Ξ 0,0269"
